nodes	cores	mem	size	class	time
12	2	8192	1000000	200	117
12	2	8192	1500000	50	136
12	2	8192	1500000	100	129
12	2	8192	1500000	150	132
12	2	8192	1500000	200	130
12	2	8192	2000000	50	172
12	2	8192	2000000	100	169
12	2	8192	2000000	150	168
12	2	8192	2000000	200	172
12	2	8192	2500000	50	185
12	2	8192	2500000	100	186
12	2	8192	2500000	150	195
12	2	8192	2500000	200	186
12	2	6144	500000	50	85
12	2	6144	500000	100	87
12	2	6144	500000	150	96
12	2	6144	500000	200	97
12	2	6144	1000000	50	125
12	2	6144	1000000	100	113
12	2	6144	1000000	150	111
12	2	6144	1000000	200	112
12	2	6144	1500000	50	137
12	2	6144	1500000	100	138
12	2	6144	1500000	150	137
12	2	6144	1500000	200	140
12	2	6144	2000000	50	173
12	2	6144	2000000	100	166
12	2	6144	2000000	150	166
12	2	6144	2000000	200	168
12	2	6144	2500000	50	181
12	2	6144	2500000	100	216
12	2	6144	2500000	150	191
12	2	6144	2500000	200	193
12	2	4096	500000	50	87
12	2	4096	500000	100	88
12	2	4096	500000	150	88
12	2	4096	500000	200	90
12	2	4096	1000000	50	117
12	2	4096	1000000	100	123
12	2	4096	1000000	150	123
12	2	4096	1000000	200	118
12	2	4096	1500000	50	197
12	2	4096	1500000	100	190
12	2	4096	1500000	150	193
12	2	4096	1500000	200	192
12	2	4096	2000000	50	289
12	2	4096	2000000	100	311
12	2	4096	2000000	150	323
12	2	4096	2000000	200	313
12	2	4096	2500000	50	398
12	2	4096	2500000	100	401
12	2	4096	2500000	150	384
